"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alameda County, California",""
"    Number",""
"        Estimate","572,870"
"    Percent Distribution",""
"        Estimate","572,870"
"    Median income (dollars)",""
"        Estimate","92,574"
"Alpine County, California",""
"    Number",""
"        Estimate","299"
"    Percent Distribution",""
"        Estimate","299"
"    Median income (dollars)",""
"        Estimate","64,688"
"Amador County, California",""
"    Number",""
"        Estimate","14,090"
"    Percent Distribution",""
"        Estimate","14,090"
"    Median income (dollars)",""
"        Estimate","61,198"
"Butte County, California",""
"    Number",""
"        Estimate","86,797"
"    Percent Distribution",""
"        Estimate","86,797"
"    Median income (dollars)",""
"        Estimate","48,443"
"Calaveras County, California",""
"    Number",""
"        Estimate","17,417"
"    Percent Distribution",""
"        Estimate","17,417"
"    Median income (dollars)",""
"        Estimate","58,151"
"Colusa County, California",""
"    Number",""
"        Estimate","7,113"
"    Percent Distribution",""
"        Estimate","7,113"
"    Median income (dollars)",""
"        Estimate","56,704"
"Contra Costa County, California",""
"    Number",""
"        Estimate","392,277"
"    Percent Distribution",""
"        Estimate","392,277"
"    Median income (dollars)",""
"        Estimate","93,712"
"Del Norte County, California",""
"    Number",""
"        Estimate","9,799"
"    Percent Distribution",""
"        Estimate","9,799"
"    Median income (dollars)",""
"        Estimate","45,258"
"El Dorado County, California",""
"    Number",""
"        Estimate","69,172"
"    Percent Distribution",""
"        Estimate","69,172"
"    Median income (dollars)",""
"        Estimate","80,582"
"Fresno County, California",""
"    Number",""
"        Estimate","304,624"
"    Percent Distribution",""
"        Estimate","304,624"
"    Median income (dollars)",""
"        Estimate","51,261"
"Glenn County, California",""
"    Number",""
"        Estimate","10,017"
"    Percent Distribution",""
"        Estimate","10,017"
"    Median income (dollars)",""
"        Estimate","47,395"
"Humboldt County, California",""
"    Number",""
"        Estimate","54,267"
"    Percent Distribution",""
"        Estimate","54,267"
"    Median income (dollars)",""
"        Estimate","45,528"
"Imperial County, California",""
"    Number",""
"        Estimate","44,057"
"    Percent Distribution",""
"        Estimate","44,057"
"    Median income (dollars)",""
"        Estimate","45,834"
"Inyo County, California",""
"    Number",""
"        Estimate","8,083"
"    Percent Distribution",""
"        Estimate","8,083"
"    Median income (dollars)",""
"        Estimate","52,874"
"Kern County, California",""
"    Number",""
"        Estimate","267,913"
"    Percent Distribution",""
"        Estimate","267,913"
"    Median income (dollars)",""
"        Estimate","52,479"
"Kings County, California",""
"    Number",""
"        Estimate","42,735"
"    Percent Distribution",""
"        Estimate","42,735"
"    Median income (dollars)",""
"        Estimate","53,865"
"Lake County, California",""
"    Number",""
"        Estimate","25,966"
"    Percent Distribution",""
"        Estimate","25,966"
"    Median income (dollars)",""
"        Estimate","42,475"
"Lassen County, California",""
"    Number",""
"        Estimate","9,493"
"    Percent Distribution",""
"        Estimate","9,493"
"    Median income (dollars)",""
"        Estimate","56,362"
"Los Angeles County, California",""
"    Number",""
"        Estimate","3,306,109"
"    Percent Distribution",""
"        Estimate","3,306,109"
"    Median income (dollars)",""
"        Estimate","64,251"
"Madera County, California",""
"    Number",""
"        Estimate","44,759"
"    Percent Distribution",""
"        Estimate","44,759"
"    Median income (dollars)",""
"        Estimate","52,884"
"Marin County, California",""
"    Number",""
"        Estimate","105,258"
"    Percent Distribution",""
"        Estimate","105,258"
"    Median income (dollars)",""
"        Estimate","110,217"
"Mariposa County, California",""
"    Number",""
"        Estimate","7,700"
"    Percent Distribution",""
"        Estimate","7,700"
"    Median income (dollars)",""
"        Estimate","51,199"
"Mendocino County, California",""
"    Number",""
"        Estimate","34,090"
"    Percent Distribution",""
"        Estimate","34,090"
"    Median income (dollars)",""
"        Estimate","49,233"
"Merced County, California",""
"    Number",""
"        Estimate","79,606"
"    Percent Distribution",""
"        Estimate","79,606"
"    Median income (dollars)",""
"        Estimate","50,129"
"Modoc County, California",""
"    Number",""
"        Estimate","3,660"
"    Percent Distribution",""
"        Estimate","3,660"
"    Median income (dollars)",""
"        Estimate","45,149"
"Mono County, California",""
"    Number",""
"        Estimate","4,847"
"    Percent Distribution",""
"        Estimate","4,847"
"    Median income (dollars)",""
"        Estimate","63,018"
"Monterey County, California",""
"    Number",""
"        Estimate","126,052"
"    Percent Distribution",""
"        Estimate","126,052"
"    Median income (dollars)",""
"        Estimate","66,676"
"Napa County, California",""
"    Number",""
"        Estimate","49,032"
"    Percent Distribution",""
"        Estimate","49,032"
"    Median income (dollars)",""
"        Estimate","84,753"
"Nevada County, California",""
"    Number",""
"        Estimate","40,904"
"    Percent Distribution",""
"        Estimate","40,904"
"    Median income (dollars)",""
"        Estimate","63,240"
"Orange County, California",""
"    Number",""
"        Estimate","1,032,373"
"    Percent Distribution",""
"        Estimate","1,032,373"
"    Median income (dollars)",""
"        Estimate","85,398"
"Placer County, California",""
"    Number",""
"        Estimate","140,661"
"    Percent Distribution",""
"        Estimate","140,661"
"    Median income (dollars)",""
"        Estimate","84,357"
"Plumas County, California",""
"    Number",""
"        Estimate","8,047"
"    Percent Distribution",""
"        Estimate","8,047"
"    Median income (dollars)",""
"        Estimate","53,270"
"Riverside County, California",""
"    Number",""
"        Estimate","718,349"
"    Percent Distribution",""
"        Estimate","718,349"
"    Median income (dollars)",""
"        Estimate","63,948"
"Sacramento County, California",""
"    Number",""
"        Estimate","536,029"
"    Percent Distribution",""
"        Estimate","536,029"
"    Median income (dollars)",""
"        Estimate","63,902"
"San Benito County, California",""
"    Number",""
"        Estimate","17,740"
"    Percent Distribution",""
"        Estimate","17,740"
"    Median income (dollars)",""
"        Estimate","81,977"
"San Bernardino County, California",""
"    Number",""
"        Estimate","630,633"
"    Percent Distribution",""
"        Estimate","630,633"
"    Median income (dollars)",""
"        Estimate","60,164"
"San Diego County, California",""
"    Number",""
"        Estimate","1,118,980"
"    Percent Distribution",""
"        Estimate","1,118,980"
"    Median income (dollars)",""
"        Estimate","74,855"
"San Francisco County, California",""
"    Number",""
"        Estimate","359,673"
"    Percent Distribution",""
"        Estimate","359,673"
"    Median income (dollars)",""
"        Estimate","104,552"
"San Joaquin County, California",""
"    Number",""
"        Estimate","226,727"
"    Percent Distribution",""
"        Estimate","226,727"
"    Median income (dollars)",""
"        Estimate","61,145"
"San Luis Obispo County, California",""
"    Number",""
"        Estimate","105,317"
"    Percent Distribution",""
"        Estimate","105,317"
"    Median income (dollars)",""
"        Estimate","70,699"
"San Mateo County, California",""
"    Number",""
"        Estimate","261,969"
"    Percent Distribution",""
"        Estimate","261,969"
"    Median income (dollars)",""
"        Estimate","113,776"
"Santa Barbara County, California",""
"    Number",""
"        Estimate","144,962"
"    Percent Distribution",""
"        Estimate","144,962"
"    Median income (dollars)",""
"        Estimate","71,657"
"Santa Clara County, California",""
"    Number",""
"        Estimate","635,525"
"    Percent Distribution",""
"        Estimate","635,525"
"    Median income (dollars)",""
"        Estimate","116,178"
"Santa Cruz County, California",""
"    Number",""
"        Estimate","95,756"
"    Percent Distribution",""
"        Estimate","95,756"
"    Median income (dollars)",""
"        Estimate","78,041"
"Shasta County, California",""
"    Number",""
"        Estimate","70,473"
"    Percent Distribution",""
"        Estimate","70,473"
"    Median income (dollars)",""
"        Estimate","50,905"
"Sierra County, California",""
"    Number",""
"        Estimate","1,241"
"    Percent Distribution",""
"        Estimate","1,241"
"    Median income (dollars)",""
"        Estimate","48,125"
"Siskiyou County, California",""
"    Number",""
"        Estimate","19,257"
"    Percent Distribution",""
"        Estimate","19,257"
"    Median income (dollars)",""
"        Estimate","44,200"
"Solano County, California",""
"    Number",""
"        Estimate","149,067"
"    Percent Distribution",""
"        Estimate","149,067"
"    Median income (dollars)",""
"        Estimate","77,609"
"Sonoma County, California",""
"    Number",""
"        Estimate","189,339"
"    Percent Distribution",""
"        Estimate","189,339"
"    Median income (dollars)",""
"        Estimate","76,753"
"Stanislaus County, California",""
