"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","558,907"
"    Median income (dollars)",""
"        Estimate","75,619"
"Alpine County, California",""
"    Total",""
"        Estimate","358"
"    Median income (dollars)",""
"        Estimate","52,917"
"Amador County, California",""
"    Total",""
"        Estimate","13,925"
"    Median income (dollars)",""
"        Estimate","54,171"
"Butte County, California",""
"    Total",""
"        Estimate","85,318"
"    Median income (dollars)",""
"        Estimate","43,444"
"Calaveras County, California",""
"    Total",""
"        Estimate","18,060"
"    Median income (dollars)",""
"        Estimate","53,233"
"Colusa County, California",""
"    Total",""
"        Estimate","6,966"
"    Median income (dollars)",""
"        Estimate","52,168"
"Contra Costa County, California",""
"    Total",""
"        Estimate","384,646"
"    Median income (dollars)",""
"        Estimate","80,185"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,420"
"    Median income (dollars)",""
"        Estimate","40,847"
"El Dorado County, California",""
"    Total",""
"        Estimate","67,086"
"    Median income (dollars)",""
"        Estimate","69,584"
"Fresno County, California",""
"    Total",""
"        Estimate","296,305"
"    Median income (dollars)",""
"        Estimate","45,233"
"Glenn County, California",""
"    Total",""
"        Estimate","9,497"
"    Median income (dollars)",""
"        Estimate","39,349"
"Humboldt County, California",""
"    Total",""
"        Estimate","53,036"
"    Median income (dollars)",""
"        Estimate","42,197"
"Imperial County, California",""
"    Total",""
"        Estimate","46,452"
"    Median income (dollars)",""
"        Estimate","41,079"
"Inyo County, California",""
"    Total",""
"        Estimate","7,957"
"    Median income (dollars)",""
"        Estimate","45,955"
"Kern County, California",""
"    Total",""
"        Estimate","259,700"
"    Median income (dollars)",""
"        Estimate","49,026"
"Kings County, California",""
"    Total",""
"        Estimate","41,554"
"    Median income (dollars)",""
"        Estimate","46,481"
"Lake County, California",""
"    Total",""
"        Estimate","26,993"
"    Median income (dollars)",""
"        Estimate","35,578"
"Lassen County, California",""
"    Total",""
"        Estimate","9,707"
"    Median income (dollars)",""
"        Estimate","51,555"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,263,069"
"    Median income (dollars)",""
"        Estimate","56,196"
"Madera County, California",""
"    Total",""
"        Estimate","43,159"
"    Median income (dollars)",""
"        Estimate","45,073"
"Marin County, California",""
"    Total",""
"        Estimate","103,670"
"    Median income (dollars)",""
"        Estimate","93,257"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,345"
"    Median income (dollars)",""
"        Estimate","47,681"
"Mendocino County, California",""
"    Total",""
"        Estimate","34,017"
"    Median income (dollars)",""
"        Estimate","42,980"
"Merced County, California",""
"    Total",""
"        Estimate","77,692"
"    Median income (dollars)",""
"        Estimate","42,462"
"Modoc County, California",""
"    Total",""
"        Estimate","3,745"
"    Median income (dollars)",""
"        Estimate","37,860"
"Mono County, California",""
"    Total",""
"        Estimate","4,906"
"    Median income (dollars)",""
"        Estimate","56,944"
"Monterey County, California",""
"    Total",""
"        Estimate","125,402"
"    Median income (dollars)",""
"        Estimate","58,783"
"Napa County, California",""
"    Total",""
"        Estimate","49,494"
"    Median income (dollars)",""
"        Estimate","71,379"
"Nevada County, California",""
"    Total",""
"        Estimate","40,993"
"    Median income (dollars)",""
"        Estimate","56,521"
"Orange County, California",""
"    Total",""
"        Estimate","1,009,353"
"    Median income (dollars)",""
"        Estimate","76,509"
"Placer County, California",""
"    Total",""
"        Estimate","135,456"
"    Median income (dollars)",""
"        Estimate","73,948"
"Plumas County, California",""
"    Total",""
"        Estimate","8,217"
"    Median income (dollars)",""
"        Estimate","47,333"
"Riverside County, California",""
"    Total",""
"        Estimate","699,232"
"    Median income (dollars)",""
"        Estimate","56,603"
"Sacramento County, California",""
"    Total",""
"        Estimate","522,596"
"    Median income (dollars)",""
"        Estimate","55,987"
"San Benito County, California",""
"    Total",""
"        Estimate","17,198"
"    Median income (dollars)",""
"        Estimate","71,077"
"San Bernardino County, California",""
"    Total",""
"        Estimate","614,325"
"    Median income (dollars)",""
"        Estimate","53,433"
"San Diego County, California",""
"    Total",""
"        Estimate","1,094,157"
"    Median income (dollars)",""
"        Estimate","64,309"
"San Francisco County, California",""
"    Total",""
"        Estimate","353,287"
"    Median income (dollars)",""
"        Estimate","81,294"
"San Joaquin County, California",""
"    Total",""
"        Estimate","219,073"
"    Median income (dollars)",""
"        Estimate","53,274"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","103,576"
"    Median income (dollars)",""
"        Estimate","60,691"
"San Mateo County, California",""
"    Total",""
"        Estimate","259,711"
"    Median income (dollars)",""
"        Estimate","93,623"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","142,713"
"    Median income (dollars)",""
"        Estimate","63,985"
"Santa Clara County, California",""
"    Total",""
"        Estimate","621,463"
"    Median income (dollars)",""
"        Estimate","96,310"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","94,802"
