"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alameda County, California",""
"    Number",""
"        Estimate","577,177"
"    Percent Distribution",""
"        Estimate","577,177"
"    Median income (dollars)",""
"        Estimate","99,406"
"Alpine County, California",""
"    Number",""
"        Estimate","350"
"    Percent Distribution",""
"        Estimate","350"
"    Median income (dollars)",""
"        Estimate","63,750"
"Amador County, California",""
"    Number",""
"        Estimate","14,594"
"    Percent Distribution",""
"        Estimate","14,594"
"    Median income (dollars)",""
"        Estimate","62,772"
"Butte County, California",""
"    Number",""
"        Estimate","85,320"
"    Percent Distribution",""
"        Estimate","85,320"
"    Median income (dollars)",""
"        Estimate","52,537"
"Calaveras County, California",""
"    Number",""
"        Estimate","16,942"
"    Percent Distribution",""
"        Estimate","16,942"
"    Median income (dollars)",""
"        Estimate","63,158"
"Colusa County, California",""
"    Number",""
"        Estimate","7,227"
"    Percent Distribution",""
"        Estimate","7,227"
"    Median income (dollars)",""
"        Estimate","59,401"
"Contra Costa County, California",""
"    Number",""
"        Estimate","394,769"
"    Percent Distribution",""
"        Estimate","394,769"
"    Median income (dollars)",""
"        Estimate","99,716"
"Del Norte County, California",""
"    Number",""
"        Estimate","9,945"
"    Percent Distribution",""
"        Estimate","9,945"
"    Median income (dollars)",""
"        Estimate","45,283"
"El Dorado County, California",""
"    Number",""
"        Estimate","70,974"
"    Percent Distribution",""
"        Estimate","70,974"
"    Median income (dollars)",""
"        Estimate","83,377"
"Fresno County, California",""
"    Number",""
"        Estimate","307,906"
"    Percent Distribution",""
"        Estimate","307,906"
"    Median income (dollars)",""
"        Estimate","53,969"
"Glenn County, California",""
"    Number",""
"        Estimate","10,085"
"    Percent Distribution",""
"        Estimate","10,085"
"    Median income (dollars)",""
"        Estimate","49,633"
"Humboldt County, California",""
"    Number",""
"        Estimate","54,679"
"    Percent Distribution",""
"        Estimate","54,679"
"    Median income (dollars)",""
"        Estimate","48,041"
"Imperial County, California",""
"    Number",""
"        Estimate","44,829"
"    Percent Distribution",""
"        Estimate","44,829"
"    Median income (dollars)",""
"        Estimate","47,622"
"Inyo County, California",""
"    Number",""
"        Estimate","7,950"
"    Percent Distribution",""
"        Estimate","7,950"
"    Median income (dollars)",""
"        Estimate","57,316"
"Kern County, California",""
"    Number",""
"        Estimate","270,282"
"    Percent Distribution",""
"        Estimate","270,282"
"    Median income (dollars)",""
"        Estimate","53,350"
"Kings County, California",""
"    Number",""
"        Estimate","43,452"
"    Percent Distribution",""
"        Estimate","43,452"
"    Median income (dollars)",""
"        Estimate","57,848"
"Lake County, California",""
"    Number",""
"        Estimate","25,660"
"    Percent Distribution",""
"        Estimate","25,660"
"    Median income (dollars)",""
"        Estimate","47,040"
"Lassen County, California",""
"    Number",""
"        Estimate","9,280"
"    Percent Distribution",""
"        Estimate","9,280"
"    Median income (dollars)",""
"        Estimate","56,352"
"Los Angeles County, California",""
"    Number",""
"        Estimate","3,316,795"
"    Percent Distribution",""
"        Estimate","3,316,795"
"    Median income (dollars)",""
"        Estimate","68,044"
"Madera County, California",""
"    Number",""
"        Estimate","44,881"
"    Percent Distribution",""
"        Estimate","44,881"
"    Median income (dollars)",""
"        Estimate","57,585"
"Marin County, California",""
"    Number",""
"        Estimate","105,432"
"    Percent Distribution",""
"        Estimate","105,432"
"    Median income (dollars)",""
"        Estimate","115,246"
"Mariposa County, California",""
"    Number",""
"        Estimate","7,643"
"    Percent Distribution",""
"        Estimate","7,643"
"    Median income (dollars)",""
"        Estimate","48,820"
"Mendocino County, California",""
"    Number",""
"        Estimate","34,408"
"    Percent Distribution",""
"        Estimate","34,408"
"    Median income (dollars)",""
"        Estimate","51,416"
"Merced County, California",""
"    Number",""
"        Estimate","80,008"
"    Percent Distribution",""
"        Estimate","80,008"
"    Median income (dollars)",""
"        Estimate","53,672"
"Modoc County, California",""
"    Number",""
"        Estimate","3,616"
"    Percent Distribution",""
"        Estimate","3,616"
"    Median income (dollars)",""
"        Estimate","45,507"
"Mono County, California",""
"    Number",""
"        Estimate","4,765"
"    Percent Distribution",""
"        Estimate","4,765"
"    Median income (dollars)",""
"        Estimate","62,260"
"Monterey County, California",""
"    Number",""
"        Estimate","127,155"
"    Percent Distribution",""
"        Estimate","127,155"
"    Median income (dollars)",""
"        Estimate","71,015"
"Napa County, California",""
"    Number",""
"        Estimate","48,705"
"    Percent Distribution",""
"        Estimate","48,705"
"    Median income (dollars)",""
"        Estimate","88,596"
"Nevada County, California",""
"    Number",""
"        Estimate","40,855"
"    Percent Distribution",""
"        Estimate","40,855"
"    Median income (dollars)",""
"        Estimate","66,096"
"Orange County, California",""
"    Number",""
"        Estimate","1,037,492"
"    Percent Distribution",""
"        Estimate","1,037,492"
"    Median income (dollars)",""
"        Estimate","90,234"
"Placer County, California",""
"    Number",""
"        Estimate","142,855"
"    Percent Distribution",""
"        Estimate","142,855"
"    Median income (dollars)",""
"        Estimate","89,691"
"Plumas County, California",""
"    Number",""
"        Estimate","8,450"
"    Percent Distribution",""
"        Estimate","8,450"
"    Median income (dollars)",""
"        Estimate","55,359"
"Riverside County, California",""
"    Number",""
"        Estimate","724,893"
"    Percent Distribution",""
"        Estimate","724,893"
"    Median income (dollars)",""
"        Estimate","67,005"
"Sacramento County, California",""
"    Number",""
"        Estimate","543,025"
"    Percent Distribution",""
"        Estimate","543,025"
"    Median income (dollars)",""
"        Estimate","67,151"
"San Benito County, California",""
"    Number",""
"        Estimate","18,135"
"    Percent Distribution",""
"        Estimate","18,135"
"    Median income (dollars)",""
"        Estimate","86,958"
"San Bernardino County, California",""
"    Number",""
"        Estimate","636,041"
"    Percent Distribution",""
"        Estimate","636,041"
"    Median income (dollars)",""
"        Estimate","63,362"
"San Diego County, California",""
"    Number",""
"        Estimate","1,125,286"
"    Percent Distribution",""
"        Estimate","1,125,286"
"    Median income (dollars)",""
"        Estimate","78,980"
"San Francisco County, California",""
"    Number",""
"        Estimate","362,354"
"    Percent Distribution",""
"        Estimate","362,354"
"    Median income (dollars)",""
"        Estimate","112,449"
"San Joaquin County, California",""
"    Number",""
"        Estimate","228,567"
"    Percent Distribution",""
"        Estimate","228,567"
"    Median income (dollars)",""
"        Estimate","64,432"
"San Luis Obispo County, California",""
"    Number",""
"        Estimate","105,981"
"    Percent Distribution",""
"        Estimate","105,981"
"    Median income (dollars)",""
"        Estimate","73,518"
"San Mateo County, California",""
"    Number",""
"        Estimate","263,543"
"    Percent Distribution",""
"        Estimate","263,543"
"    Median income (dollars)",""
"        Estimate","122,641"
"Santa Barbara County, California",""
"    Number",""
"        Estimate","145,856"
"    Percent Distribution",""
"        Estimate","145,856"
"    Median income (dollars)",""
"        Estimate","74,624"
"Santa Clara County, California",""
"    Number",""
"        Estimate","640,215"
"    Percent Distribution",""
"        Estimate","640,215"
"    Median income (dollars)",""
"        Estimate","124,055"
"Santa Cruz County, California",""
"    Number",""
"        Estimate","95,818"
"    Percent Distribution",""
"        Estimate","95,818"
"    Median income (dollars)",""
"        Estimate","82,234"
"Shasta County, California",""
"    Number",""
"        Estimate","71,181"
"    Percent Distribution",""
"        Estimate","71,181"
"    Median income (dollars)",""
"        Estimate","54,667"
"Sierra County, California",""
"    Number",""
"        Estimate","1,319"
"    Percent Distribution",""
"        Estimate","1,319"
"    Median income (dollars)",""
"        Estimate","52,148"
"Siskiyou County, California",""
"    Number",""
"        Estimate","19,240"
"    Percent Distribution",""
"        Estimate","19,240"
"    Median income (dollars)",""
"        Estimate","45,241"
"Solano County, California",""
"    Number",""
"        Estimate","149,865"
"    Percent Distribution",""
"        Estimate","149,865"
"    Median income (dollars)",""
"        Estimate","81,472"
"Sonoma County, California",""
"    Number",""
"        Estimate","189,374"
"    Percent Distribution",""
"        Estimate","189,374"
"    Median income (dollars)",""
"        Estimate","81,018"
"Stanislaus County, California",""
