"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","532,026"
"    Median income (dollars)",""
"        Estimate","69,384"
"Alpine County, California",""
"    Total",""
"        Estimate","410"
"    Median income (dollars)",""
"        Estimate","63,478"
"Amador County, California",""
"    Total",""
"        Estimate","14,715"
"    Median income (dollars)",""
"        Estimate","54,758"
"Butte County, California",""
"    Total",""
"        Estimate","85,465"
"    Median income (dollars)",""
"        Estimate","43,170"
"Calaveras County, California",""
"    Total",""
"        Estimate","18,794"
"    Median income (dollars)",""
"        Estimate","54,971"
"Colusa County, California",""
"    Total",""
"        Estimate","6,972"
"    Median income (dollars)",""
"        Estimate","48,016"
"Contra Costa County, California",""
"    Total",""
"        Estimate","368,087"
"    Median income (dollars)",""
"        Estimate","78,385"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,906"
"    Median income (dollars)",""
"        Estimate","36,118"
"El Dorado County, California",""
"    Total",""
"        Estimate","68,394"
"    Median income (dollars)",""
"        Estimate","70,000"
"Fresno County, California",""
"    Total",""
"        Estimate","283,836"
"    Median income (dollars)",""
"        Estimate","46,430"
"Glenn County, California",""
"    Total",""
"        Estimate","9,660"
"    Median income (dollars)",""
"        Estimate","43,074"
"Humboldt County, California",""
"    Total",""
"        Estimate","54,276"
"    Median income (dollars)",""
"        Estimate","40,089"
"Imperial County, California",""
"    Total",""
"        Estimate","47,304"
"    Median income (dollars)",""
"        Estimate","38,685"
"Inyo County, California",""
"    Total",""
"        Estimate","7,982"
"    Median income (dollars)",""
"        Estimate","44,808"
"Kern County, California",""
"    Total",""
"        Estimate","248,057"
"    Median income (dollars)",""
"        Estimate","47,089"
"Kings County, California",""
"    Total",""
"        Estimate","40,606"
"    Median income (dollars)",""
"        Estimate","48,684"
"Lake County, California",""
"    Total",""
"        Estimate","25,180"
"    Median income (dollars)",""
"        Estimate","39,491"
"Lassen County, California",""
"    Total",""
"        Estimate","10,276"
"    Median income (dollars)",""
"        Estimate","50,317"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,217,889"
"    Median income (dollars)",""
"        Estimate","55,476"
"Madera County, California",""
"    Total",""
"        Estimate","42,089"
"    Median income (dollars)",""
"        Estimate","46,039"
"Marin County, California",""
"    Total",""
"        Estimate","102,727"
"    Median income (dollars)",""
"        Estimate","89,268"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,724"
"    Median income (dollars)",""
"        Estimate","49,098"
"Mendocino County, California",""
"    Total",""
"        Estimate","34,374"
"    Median income (dollars)",""
"        Estimate","43,759"
"Merced County, California",""
"    Total",""
"        Estimate","73,586"
"    Median income (dollars)",""
"        Estimate","43,844"
"Modoc County, California",""
"    Total",""
"        Estimate","3,977"
"    Median income (dollars)",""
"        Estimate","34,588"
"Mono County, California",""
"    Total",""
"        Estimate","5,283"
"    Median income (dollars)",""
"        Estimate","55,087"
"Monterey County, California",""
"    Total",""
"        Estimate","124,963"
"    Median income (dollars)",""
"        Estimate","59,271"
"Napa County, California",""
"    Total",""
"        Estimate","49,179"
"    Median income (dollars)",""
"        Estimate","67,389"
"Nevada County, California",""
"    Total",""
"        Estimate","41,255"
"    Median income (dollars)",""
"        Estimate","57,121"
"Orange County, California",""
"    Total",""
"        Estimate","984,503"
"    Median income (dollars)",""
"        Estimate","74,344"
"Placer County, California",""
"    Total",""
"        Estimate","129,153"
"    Median income (dollars)",""
"        Estimate","74,447"
"Plumas County, California",""
"    Total",""
"        Estimate","10,090"
"    Median income (dollars)",""
"        Estimate","44,000"
"Riverside County, California",""
"    Total",""
"        Estimate","666,906"
"    Median income (dollars)",""
"        Estimate","57,768"
"Sacramento County, California",""
"    Total",""
"        Estimate","508,499"
"    Median income (dollars)",""
"        Estimate","56,439"
"San Benito County, California",""
"    Total",""
"        Estimate","16,812"
"    Median income (dollars)",""
"        Estimate","65,771"
"San Bernardino County, California",""
"    Total",""
"        Estimate","596,125"
"    Median income (dollars)",""
"        Estimate","55,845"
"San Diego County, California",""
"    Total",""
"        Estimate","1,061,789"
"    Median income (dollars)",""
"        Estimate","63,069"
"San Francisco County, California",""
"    Total",""
"        Estimate","335,956"
"    Median income (dollars)",""
"        Estimate","71,304"
"San Joaquin County, California",""
"    Total",""
"        Estimate","212,905"
"    Median income (dollars)",""
"        Estimate","54,341"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","102,434"
"    Median income (dollars)",""
"        Estimate","57,365"
"San Mateo County, California",""
"    Total",""
"        Estimate","255,758"
"    Median income (dollars)",""
"        Estimate","85,648"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","141,793"
"    Median income (dollars)",""
"        Estimate","60,078"
"Santa Clara County, California",""
"    Total",""
"        Estimate","596,747"
"    Median income (dollars)",""
"        Estimate","86,850"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","93,802"
