"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","536,160"
"    Median income (dollars)",""
"        Estimate","70,821"
"Alpine County, California",""
"    Total",""
"        Estimate","357"
"    Median income (dollars)",""
"        Estimate","59,018"
"Amador County, California",""
"    Total",""
"        Estimate","14,283"
"    Median income (dollars)",""
"        Estimate","56,180"
"Butte County, California",""
"    Total",""
"        Estimate","85,219"
"    Median income (dollars)",""
"        Estimate","42,971"
"Calaveras County, California",""
"    Total",""
"        Estimate","18,865"
"    Median income (dollars)",""
"        Estimate","55,256"
"Colusa County, California",""
"    Total",""
"        Estimate","6,989"
"    Median income (dollars)",""
"        Estimate","49,558"
"Contra Costa County, California",""
"    Total",""
"        Estimate","370,925"
"    Median income (dollars)",""
"        Estimate","79,135"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,818"
"    Median income (dollars)",""
"        Estimate","37,588"
"El Dorado County, California",""
"    Total",""
"        Estimate","68,812"
"    Median income (dollars)",""
"        Estimate","68,815"
"Fresno County, California",""
"    Total",""
"        Estimate","285,338"
"    Median income (dollars)",""
"        Estimate","46,903"
"Glenn County, California",""
"    Total",""
"        Estimate","9,483"
"    Median income (dollars)",""
"        Estimate","43,239"
"Humboldt County, California",""
"    Total",""
"        Estimate","53,724"
"    Median income (dollars)",""
"        Estimate","40,376"
"Imperial County, California",""
"    Total",""
"        Estimate","48,117"
"    Median income (dollars)",""
"        Estimate","39,402"
"Inyo County, California",""
"    Total",""
"        Estimate","7,910"
"    Median income (dollars)",""
"        Estimate","49,571"
"Kern County, California",""
"    Total",""
"        Estimate","250,999"
"    Median income (dollars)",""
"        Estimate","48,021"
"Kings County, California",""
"    Total",""
"        Estimate","40,716"
"    Median income (dollars)",""
"        Estimate","48,838"
"Lake County, California",""
"    Total",""
"        Estimate","25,654"
"    Median income (dollars)",""
"        Estimate","39,525"
"Lassen County, California",""
"    Total",""
"        Estimate","10,097"
"    Median income (dollars)",""
"        Estimate","52,484"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,218,518"
"    Median income (dollars)",""
"        Estimate","56,266"
"Madera County, California",""
"    Total",""
"        Estimate","42,032"
"    Median income (dollars)",""
"        Estimate","47,724"
"Marin County, California",""
"    Total",""
"        Estimate","102,832"
"    Median income (dollars)",""
"        Estimate","89,605"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,607"
"    Median income (dollars)",""
"        Estimate","49,174"
"Mendocino County, California",""
"    Total",""
"        Estimate","34,102"
"    Median income (dollars)",""
"        Estimate","44,527"
"Merced County, California",""
"    Total",""
"        Estimate","74,079"
"    Median income (dollars)",""
"        Estimate","43,945"
"Modoc County, California",""
"    Total",""
"        Estimate","3,947"
"    Median income (dollars)",""
"        Estimate","35,402"
"Mono County, California",""
"    Total",""
"        Estimate","5,416"
"    Median income (dollars)",""
"        Estimate","60,469"
"Monterey County, California",""
"    Total",""
"        Estimate","125,217"
"    Median income (dollars)",""
"        Estimate","59,737"
"Napa County, California",""
"    Total",""
"        Estimate","49,640"
"    Median income (dollars)",""
"        Estimate","68,641"
"Nevada County, California",""
"    Total",""
"        Estimate","41,561"
"    Median income (dollars)",""
"        Estimate","58,077"
"Orange County, California",""
"    Total",""
"        Estimate","987,164"
"    Median income (dollars)",""
"        Estimate","75,762"
"Placer County, California",""
"    Total",""
"        Estimate","130,736"
"    Median income (dollars)",""
"        Estimate","74,645"
"Plumas County, California",""
"    Total",""
"        Estimate","9,434"
"    Median income (dollars)",""
"        Estimate","44,151"
"Riverside County, California",""
"    Total",""
"        Estimate","672,896"
"    Median income (dollars)",""
"        Estimate","58,365"
"Sacramento County, California",""
"    Total",""
"        Estimate","510,976"
"    Median income (dollars)",""
"        Estimate","56,553"
"San Benito County, California",""
"    Total",""
"        Estimate","16,785"
"    Median income (dollars)",""
"        Estimate","65,570"
"San Bernardino County, California",""
"    Total",""
"        Estimate","598,822"
"    Median income (dollars)",""
"        Estimate","55,853"
"San Diego County, California",""
"    Total",""
"        Estimate","1,064,048"
"    Median income (dollars)",""
"        Estimate","63,857"
"San Francisco County, California",""
"    Total",""
"        Estimate","338,366"
"    Median income (dollars)",""
"        Estimate","72,947"
"San Joaquin County, California",""
"    Total",""
"        Estimate","212,902"
"    Median income (dollars)",""
"        Estimate","53,764"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","101,993"
"    Median income (dollars)",""
"        Estimate","58,630"
"San Mateo County, California",""
"    Total",""
"        Estimate","256,423"
"    Median income (dollars)",""
"        Estimate","87,633"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","141,635"
"    Median income (dollars)",""
"        Estimate","61,896"
"Santa Clara County, California",""
"    Total",""
"        Estimate","599,652"
"    Median income (dollars)",""
"        Estimate","89,064"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","93,834"
