"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alameda County, California",""
"    Number",""
"        Estimate","569,070"
"    Percent Distribution",""
"        Estimate","569,070"
"    Median income (dollars)",""
"        Estimate","85,743"
"Alpine County, California",""
"    Number",""
"        Estimate","304"
"    Percent Distribution",""
"        Estimate","304"
"    Median income (dollars)",""
"        Estimate","63,438"
"Amador County, California",""
"    Number",""
"        Estimate","14,185"
"    Percent Distribution",""
"        Estimate","14,185"
"    Median income (dollars)",""
"        Estimate","60,636"
"Butte County, California",""
"    Number",""
"        Estimate","86,167"
"    Percent Distribution",""
"        Estimate","86,167"
"    Median income (dollars)",""
"        Estimate","46,516"
"Calaveras County, California",""
"    Number",""
"        Estimate","17,812"
"    Percent Distribution",""
"        Estimate","17,812"
"    Median income (dollars)",""
"        Estimate","54,800"
"Colusa County, California",""
"    Number",""
"        Estimate","7,047"
"    Percent Distribution",""
"        Estimate","7,047"
"    Median income (dollars)",""
"        Estimate","56,481"
"Contra Costa County, California",""
"    Number",""
"        Estimate","389,597"
"    Percent Distribution",""
"        Estimate","389,597"
"    Median income (dollars)",""
"        Estimate","88,456"
"Del Norte County, California",""
"    Number",""
"        Estimate","9,683"
"    Percent Distribution",""
"        Estimate","9,683"
"    Median income (dollars)",""
"        Estimate","41,287"
"El Dorado County, California",""
"    Number",""
"        Estimate","68,084"
"    Percent Distribution",""
"        Estimate","68,084"
"    Median income (dollars)",""
"        Estimate","74,885"
"Fresno County, California",""
"    Number",""
"        Estimate","301,824"
"    Percent Distribution",""
"        Estimate","301,824"
"    Median income (dollars)",""
"        Estimate","48,730"
"Glenn County, California",""
"    Number",""
"        Estimate","9,936"
"    Percent Distribution",""
"        Estimate","9,936"
"    Median income (dollars)",""
"        Estimate","46,260"
"Humboldt County, California",""
"    Number",""
"        Estimate","53,966"
"    Percent Distribution",""
"        Estimate","53,966"
"    Median income (dollars)",""
"        Estimate","43,718"
"Imperial County, California",""
"    Number",""
"        Estimate","45,198"
"    Percent Distribution",""
"        Estimate","45,198"
"    Median income (dollars)",""
"        Estimate","44,779"
"Inyo County, California",""
"    Number",""
"        Estimate","8,026"
"    Percent Distribution",""
"        Estimate","8,026"
"    Median income (dollars)",""
"        Estimate","51,500"
"Kern County, California",""
"    Number",""
"        Estimate","264,993"
"    Percent Distribution",""
"        Estimate","264,993"
"    Median income (dollars)",""
"        Estimate","50,826"
"Kings County, California",""
"    Number",""
"        Estimate","42,349"
"    Percent Distribution",""
"        Estimate","42,349"
"    Median income (dollars)",""
"        Estimate","49,742"
"Lake County, California",""
"    Number",""
"        Estimate","26,327"
"    Percent Distribution",""
"        Estimate","26,327"
"    Median income (dollars)",""
"        Estimate","40,446"
"Lassen County, California",""
"    Number",""
"        Estimate","9,441"
"    Percent Distribution",""
"        Estimate","9,441"
"    Median income (dollars)",""
"        Estimate","54,083"
"Los Angeles County, California",""
"    Number",""
"        Estimate","3,295,198"
"    Percent Distribution",""
"        Estimate","3,295,198"
"    Median income (dollars)",""
"        Estimate","61,015"
"Madera County, California",""
"    Number",""
"        Estimate","44,458"
"    Percent Distribution",""
"        Estimate","44,458"
"    Median income (dollars)",""
"        Estimate","48,210"
"Marin County, California",""
"    Number",""
"        Estimate","104,846"
"    Percent Distribution",""
"        Estimate","104,846"
"    Median income (dollars)",""
"        Estimate","104,703"
"Mariposa County, California",""
"    Number",""
"        Estimate","7,434"
"    Percent Distribution",""
"        Estimate","7,434"
"    Median income (dollars)",""
"        Estimate","51,385"
"Mendocino County, California",""
"    Number",""
"        Estimate","34,182"
"    Percent Distribution",""
"        Estimate","34,182"
"    Median income (dollars)",""
"        Estimate","46,528"
"Merced County, California",""
"    Number",""
"        Estimate","79,261"
"    Percent Distribution",""
"        Estimate","79,261"
"    Median income (dollars)",""
"        Estimate","46,338"
"Modoc County, California",""
"    Number",""
"        Estimate","3,638"
"    Percent Distribution",""
"        Estimate","3,638"
"    Median income (dollars)",""
"        Estimate","39,296"
"Mono County, California",""
"    Number",""
"        Estimate","4,899"
"    Percent Distribution",""
"        Estimate","4,899"
"    Median income (dollars)",""
"        Estimate","60,595"
"Monterey County, California",""
"    Number",""
"        Estimate","125,939"
"    Percent Distribution",""
"        Estimate","125,939"
"    Median income (dollars)",""
"        Estimate","63,249"
"Napa County, California",""
"    Number",""
"        Estimate","49,044"
"    Percent Distribution",""
"        Estimate","49,044"
"    Median income (dollars)",""
"        Estimate","79,637"
"Nevada County, California",""
"    Number",""
"        Estimate","40,386"
"    Percent Distribution",""
"        Estimate","40,386"
"    Median income (dollars)",""
"        Estimate","60,610"
"Orange County, California",""
"    Number",""
"        Estimate","1,024,976"
"    Percent Distribution",""
"        Estimate","1,024,976"
"    Median income (dollars)",""
"        Estimate","81,851"
"Placer County, California",""
"    Number",""
"        Estimate","138,564"
"    Percent Distribution",""
"        Estimate","138,564"
"    Median income (dollars)",""
"        Estimate","80,488"
"Plumas County, California",""
"    Number",""
"        Estimate","8,287"
"    Percent Distribution",""
"        Estimate","8,287"
"    Median income (dollars)",""
"        Estimate","50,266"
"Riverside County, California",""
"    Number",""
"        Estimate","711,724"
"    Percent Distribution",""
"        Estimate","711,724"
"    Median income (dollars)",""
"        Estimate","60,807"
"Sacramento County, California",""
"    Number",""
"        Estimate","532,050"
"    Percent Distribution",""
"        Estimate","532,050"
"    Median income (dollars)",""
"        Estimate","60,239"
"San Benito County, California",""
"    Number",""
"        Estimate","17,440"
"    Percent Distribution",""
"        Estimate","17,440"
"    Median income (dollars)",""
"        Estimate","80,760"
"San Bernardino County, California",""
"    Number",""
"        Estimate","623,642"
"    Percent Distribution",""
"        Estimate","623,642"
"    Median income (dollars)",""
"        Estimate","57,156"
"San Diego County, California",""
"    Number",""
"        Estimate","1,111,739"
"    Percent Distribution",""
"        Estimate","1,111,739"
"    Median income (dollars)",""
"        Estimate","70,588"
"San Francisco County, California",""
"    Number",""
"        Estimate","358,772"
"    Percent Distribution",""
"        Estimate","358,772"
"    Median income (dollars)",""
"        Estimate","96,265"
"San Joaquin County, California",""
"    Number",""
"        Estimate","223,808"
"    Percent Distribution",""
"        Estimate","223,808"
"    Median income (dollars)",""
"        Estimate","57,813"
"San Luis Obispo County, California",""
"    Number",""
"        Estimate","105,044"
"    Percent Distribution",""
"        Estimate","105,044"
"    Median income (dollars)",""
"        Estimate","67,175"
"San Mateo County, California",""
"    Number",""
"        Estimate","261,796"
"    Percent Distribution",""
"        Estimate","261,796"
"    Median income (dollars)",""
"        Estimate","105,667"
"Santa Barbara County, California",""
"    Number",""
"        Estimate","144,015"
"    Percent Distribution",""
"        Estimate","144,015"
"    Median income (dollars)",""
"        Estimate","68,023"
"Santa Clara County, California",""
"    Number",""
"        Estimate","630,451"
"    Percent Distribution",""
"        Estimate","630,451"
"    Median income (dollars)",""
"        Estimate","106,761"
"Santa Cruz County, California",""
"    Number",""
"        Estimate","95,536"
"    Percent Distribution",""
"        Estimate","95,536"
"    Median income (dollars)",""
"        Estimate","73,663"
"Shasta County, California",""
"    Number",""
"        Estimate","70,486"
"    Percent Distribution",""
"        Estimate","70,486"
"    Median income (dollars)",""
"        Estimate","47,258"
"Sierra County, California",""
"    Number",""
"        Estimate","1,208"
"    Percent Distribution",""
"        Estimate","1,208"
"    Median income (dollars)",""
"        Estimate","44,190"
"Siskiyou County, California",""
"    Number",""
"        Estimate","19,018"
"    Percent Distribution",""
"        Estimate","19,018"
"    Median income (dollars)",""
"        Estimate","40,884"
"Solano County, California",""
"    Number",""
"        Estimate","147,352"
"    Percent Distribution",""
"        Estimate","147,352"
"    Median income (dollars)",""
"        Estimate","72,950"
"Sonoma County, California",""
"    Number",""
"        Estimate","190,058"
"    Percent Distribution",""
"        Estimate","190,058"
"    Median income (dollars)",""
"        Estimate","71,769"
"Stanislaus County, California",""
