"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","545,071"
"    Median income (dollars)",""
"        Estimate","72,112"
"Alpine County, California",""
"    Total",""
"        Estimate","394"
"    Median income (dollars)",""
"        Estimate","58,636"
"Amador County, California",""
"    Total",""
"        Estimate","14,262"
"    Median income (dollars)",""
"        Estimate","53,684"
"Butte County, California",""
"    Total",""
"        Estimate","84,816"
"    Median income (dollars)",""
"        Estimate","43,752"
"Calaveras County, California",""
"    Total",""
"        Estimate","18,702"
"    Median income (dollars)",""
"        Estimate","55,295"
"Colusa County, California",""
"    Total",""
"        Estimate","6,853"
"    Median income (dollars)",""
"        Estimate","52,158"
"Contra Costa County, California",""
"    Total",""
"        Estimate","375,855"
"    Median income (dollars)",""
"        Estimate","78,756"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,593"
"    Median income (dollars)",""
"        Estimate","37,909"
"El Dorado County, California",""
"    Total",""
"        Estimate","67,885"
"    Median income (dollars)",""
"        Estimate","69,297"
"Fresno County, California",""
"    Total",""
"        Estimate","289,811"
"    Median income (dollars)",""
"        Estimate","45,563"
"Glenn County, California",""
"    Total",""
"        Estimate","9,628"
"    Median income (dollars)",""
"        Estimate","43,023"
"Humboldt County, California",""
"    Total",""
"        Estimate","53,296"
"    Median income (dollars)",""
"        Estimate","41,426"
"Imperial County, California",""
"    Total",""
"        Estimate","48,099"
"    Median income (dollars)",""
"        Estimate","41,807"
"Inyo County, California",""
"    Total",""
"        Estimate","7,873"
"    Median income (dollars)",""
"        Estimate","44,796"
"Kern County, California",""
"    Total",""
"        Estimate","255,271"
"    Median income (dollars)",""
"        Estimate","48,552"
"Kings County, California",""
"    Total",""
"        Estimate","40,785"
"    Median income (dollars)",""
"        Estimate","48,133"
"Lake County, California",""
"    Total",""
"        Estimate","26,505"
"    Median income (dollars)",""
"        Estimate","36,548"
"Lassen County, California",""
"    Total",""
"        Estimate","9,945"
"    Median income (dollars)",""
"        Estimate","53,107"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,230,383"
"    Median income (dollars)",""
"        Estimate","55,909"
"Madera County, California",""
"    Total",""
"        Estimate","42,516"
"    Median income (dollars)",""
"        Estimate","45,625"
"Marin County, California",""
"    Total",""
"        Estimate","102,912"
"    Median income (dollars)",""
"        Estimate","90,839"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,238"
"    Median income (dollars)",""
"        Estimate","49,820"
"Mendocino County, California",""
"    Total",""
"        Estimate","33,878"
"    Median income (dollars)",""
"        Estimate","43,469"
"Merced County, California",""
"    Total",""
"        Estimate","75,409"
"    Median income (dollars)",""
"        Estimate","42,591"
"Modoc County, California",""
"    Total",""
"        Estimate","3,983"
"    Median income (dollars)",""
"        Estimate","36,212"
"Mono County, California",""
"    Total",""
"        Estimate","5,268"
"    Median income (dollars)",""
"        Estimate","61,757"
"Monterey County, California",""
"    Total",""
"        Estimate","125,428"
"    Median income (dollars)",""
"        Estimate","59,168"
"Napa County, California",""
"    Total",""
"        Estimate","49,431"
"    Median income (dollars)",""
"        Estimate","70,443"
"Nevada County, California",""
"    Total",""
"        Estimate","40,991"
"    Median income (dollars)",""
"        Estimate","57,353"
"Orange County, California",""
"    Total",""
"        Estimate","995,512"
"    Median income (dollars)",""
"        Estimate","75,422"
"Placer County, California",""
"    Total",""
"        Estimate","132,709"
"    Median income (dollars)",""
"        Estimate","72,725"
"Plumas County, California",""
"    Total",""
"        Estimate","8,997"
"    Median income (dollars)",""
"        Estimate","45,794"
"Riverside County, California",""
"    Total",""
"        Estimate","683,144"
"    Median income (dollars)",""
"        Estimate","56,529"
"Sacramento County, California",""
"    Total",""
"        Estimate","517,243"
"    Median income (dollars)",""
"        Estimate","55,064"
"San Benito County, California",""
"    Total",""
"        Estimate","16,995"
"    Median income (dollars)",""
"        Estimate","66,237"
"San Bernardino County, California",""
"    Total",""
"        Estimate","603,879"
"    Median income (dollars)",""
"        Estimate","54,090"
"San Diego County, California",""
"    Total",""
"        Estimate","1,076,483"
"    Median income (dollars)",""
"        Estimate","62,962"
"San Francisco County, California",""
"    Total",""
"        Estimate","345,344"
"    Median income (dollars)",""
"        Estimate","75,604"
"San Joaquin County, California",""
"    Total",""
"        Estimate","215,563"
"    Median income (dollars)",""
"        Estimate","53,380"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","102,154"
"    Median income (dollars)",""
"        Estimate","58,697"
"San Mateo County, California",""
"    Total",""
"        Estimate","257,941"
"    Median income (dollars)",""
"        Estimate","88,202"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","141,720"
"    Median income (dollars)",""
"        Estimate","62,779"
"Santa Clara County, California",""
"    Total",""
"        Estimate","609,377"
"    Median income (dollars)",""
"        Estimate","91,702"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","93,504"
