"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alameda County, California",""
"    Number",""
"        Estimate","573,174"
"    Percent Distribution",""
"        Estimate","573,174"
"    Median income (dollars)",""
"        Estimate","104,888"
"Alpine County, California",""
"    Number",""
"        Estimate","397"
"    Percent Distribution",""
"        Estimate","397"
"    Median income (dollars)",""
"        Estimate","85,750"
"Amador County, California",""
"    Number",""
"        Estimate","14,844"
"    Percent Distribution",""
"        Estimate","14,844"
"    Median income (dollars)",""
"        Estimate","65,187"
"Butte County, California",""
"    Number",""
"        Estimate","83,879"
"    Percent Distribution",""
"        Estimate","83,879"
"    Median income (dollars)",""
"        Estimate","54,972"
"Calaveras County, California",""
"    Number",""
"        Estimate","16,958"
"    Percent Distribution",""
"        Estimate","16,958"
"    Median income (dollars)",""
"        Estimate","67,054"
"Colusa County, California",""
"    Number",""
"        Estimate","7,329"
"    Percent Distribution",""
"        Estimate","7,329"
"    Median income (dollars)",""
"        Estimate","59,427"
"Contra Costa County, California",""
"    Number",""
"        Estimate","398,299"
"    Percent Distribution",""
"        Estimate","398,299"
"    Median income (dollars)",""
"        Estimate","103,997"
"Del Norte County, California",""
"    Number",""
"        Estimate","9,805"
"    Percent Distribution",""
"        Estimate","9,805"
"    Median income (dollars)",""
"        Estimate","49,981"
"El Dorado County, California",""
"    Number",""
"        Estimate","73,078"
"    Percent Distribution",""
"        Estimate","73,078"
"    Median income (dollars)",""
"        Estimate","83,710"
"Fresno County, California",""
"    Number",""
"        Estimate","310,097"
"    Percent Distribution",""
"        Estimate","310,097"
"    Median income (dollars)",""
"        Estimate","57,109"
"Glenn County, California",""
"    Number",""
"        Estimate","10,216"
"    Percent Distribution",""
"        Estimate","10,216"
"    Median income (dollars)",""
"        Estimate","51,682"
"Humboldt County, California",""
"    Number",""
"        Estimate","54,120"
"    Percent Distribution",""
"        Estimate","54,120"
"    Median income (dollars)",""
"        Estimate","49,235"
"Imperial County, California",""
"    Number",""
"        Estimate","45,768"
"    Percent Distribution",""
"        Estimate","45,768"
"    Median income (dollars)",""
"        Estimate","46,222"
"Inyo County, California",""
"    Number",""
"        Estimate","7,954"
"    Percent Distribution",""
"        Estimate","7,954"
"    Median income (dollars)",""
"        Estimate","59,296"
"Kern County, California",""
"    Number",""
"        Estimate","273,556"
"    Percent Distribution",""
"        Estimate","273,556"
"    Median income (dollars)",""
"        Estimate","54,851"
"Kings County, California",""
"    Number",""
"        Estimate","43,604"
"    Percent Distribution",""
"        Estimate","43,604"
"    Median income (dollars)",""
"        Estimate","61,556"
"Lake County, California",""
"    Number",""
"        Estimate","25,508"
"    Percent Distribution",""
"        Estimate","25,508"
"    Median income (dollars)",""
"        Estimate","49,254"
"Lassen County, California",""
"    Number",""
"        Estimate","9,172"
"    Percent Distribution",""
"        Estimate","9,172"
"    Median income (dollars)",""
"        Estimate","56,971"
"Los Angeles County, California",""
"    Number",""
"        Estimate","3,332,504"
"    Percent Distribution",""
"        Estimate","3,332,504"
"    Median income (dollars)",""
"        Estimate","71,358"
"Madera County, California",""
"    Number",""
"        Estimate","44,479"
"    Percent Distribution",""
"        Estimate","44,479"
"    Median income (dollars)",""
"        Estimate","61,924"
"Marin County, California",""
"    Number",""
"        Estimate","104,900"
"    Percent Distribution",""
"        Estimate","104,900"
"    Median income (dollars)",""
"        Estimate","121,671"
"Mariposa County, California",""
"    Number",""
"        Estimate","7,846"
"    Percent Distribution",""
"        Estimate","7,846"
"    Median income (dollars)",""
"        Estimate","50,960"
"Mendocino County, California",""
"    Number",""
"        Estimate","34,164"
"    Percent Distribution",""
"        Estimate","34,164"
"    Median income (dollars)",""
"        Estimate","52,915"
"Merced County, California",""
"    Number",""
"        Estimate","81,306"
"    Percent Distribution",""
"        Estimate","81,306"
"    Median income (dollars)",""
"        Estimate","56,330"
"Modoc County, California",""
"    Number",""
"        Estimate","3,594"
"    Percent Distribution",""
"        Estimate","3,594"
"    Median income (dollars)",""
"        Estimate","51,250"
"Mono County, California",""
"    Number",""
"        Estimate","5,196"
"    Percent Distribution",""
"        Estimate","5,196"
"    Median income (dollars)",""
"        Estimate","64,924"
"Monterey County, California",""
"    Number",""
"        Estimate","128,003"
"    Percent Distribution",""
"        Estimate","128,003"
"    Median income (dollars)",""
"        Estimate","76,943"
"Napa County, California",""
"    Number",""
"        Estimate","48,484"
"    Percent Distribution",""
"        Estimate","48,484"
"    Median income (dollars)",""
"        Estimate","92,219"
"Nevada County, California",""
"    Number",""
"        Estimate","40,917"
"    Percent Distribution",""
"        Estimate","40,917"
"    Median income (dollars)",""
"        Estimate","68,333"
"Orange County, California",""
"    Number",""
"        Estimate","1,040,001"
"    Percent Distribution",""
"        Estimate","1,040,001"
"    Median income (dollars)",""
"        Estimate","94,441"
"Placer County, California",""
"    Number",""
"        Estimate","145,714"
"    Percent Distribution",""
"        Estimate","145,714"
"    Median income (dollars)",""
"        Estimate","93,677"
"Plumas County, California",""
"    Number",""
"        Estimate","8,332"
"    Percent Distribution",""
"        Estimate","8,332"
"    Median income (dollars)",""
"        Estimate","57,233"
"Riverside County, California",""
"    Number",""
"        Estimate","736,413"
"    Percent Distribution",""
"        Estimate","736,413"
"    Median income (dollars)",""
"        Estimate","70,732"
"Sacramento County, California",""
"    Number",""
"        Estimate","547,519"
"    Percent Distribution",""
"        Estimate","547,519"
"    Median income (dollars)",""
"        Estimate","70,684"
"San Benito County, California",""
"    Number",""
"        Estimate","18,389"
"    Percent Distribution",""
"        Estimate","18,389"
"    Median income (dollars)",""
"        Estimate","85,808"
"San Bernardino County, California",""
"    Number",""
"        Estimate","640,090"
"    Percent Distribution",""
"        Estimate","640,090"
"    Median income (dollars)",""
"        Estimate","65,761"
"San Diego County, California",""
"    Number",""
"        Estimate","1,130,703"
"    Percent Distribution",""
"        Estimate","1,130,703"
"    Median income (dollars)",""
"        Estimate","82,426"
"San Francisco County, California",""
"    Number",""
"        Estimate","362,141"
"    Percent Distribution",""
"        Estimate","362,141"
"    Median income (dollars)",""
"        Estimate","119,136"
"San Joaquin County, California",""
"    Number",""
"        Estimate","231,092"
"    Percent Distribution",""
"        Estimate","231,092"
"    Median income (dollars)",""
"        Estimate","68,628"
"San Luis Obispo County, California",""
"    Number",""
"        Estimate","106,244"
"    Percent Distribution",""
"        Estimate","106,244"
"    Median income (dollars)",""
"        Estimate","77,948"
"San Mateo County, California",""
"    Number",""
"        Estimate","263,351"
"    Percent Distribution",""
"        Estimate","263,351"
"    Median income (dollars)",""
"        Estimate","128,091"
"Santa Barbara County, California",""
"    Number",""
"        Estimate","148,309"
"    Percent Distribution",""
"        Estimate","148,309"
"    Median income (dollars)",""
"        Estimate","78,925"
"Santa Clara County, California",""
"    Number",""
"        Estimate","635,314"
"    Percent Distribution",""
"        Estimate","635,314"
"    Median income (dollars)",""
"        Estimate","130,890"
"Santa Cruz County, California",""
"    Number",""
"        Estimate","96,275"
"    Percent Distribution",""
"        Estimate","96,275"
"    Median income (dollars)",""
"        Estimate","89,986"
"Shasta County, California",""
"    Number",""
"        Estimate","70,845"
"    Percent Distribution",""
"        Estimate","70,845"
"    Median income (dollars)",""
"        Estimate","57,139"
"Sierra County, California",""
"    Number",""
"        Estimate","1,250"
"    Percent Distribution",""
"        Estimate","1,250"
"    Median income (dollars)",""
"        Estimate","52,103"
"Siskiyou County, California",""
"    Number",""
"        Estimate","19,195"
"    Percent Distribution",""
"        Estimate","19,195"
"    Median income (dollars)",""
"        Estimate","47,403"
"Solano County, California",""
"    Number",""
"        Estimate","151,191"
"    Percent Distribution",""
"        Estimate","151,191"
"    Median income (dollars)",""
"        Estimate","84,638"
"Sonoma County, California",""
"    Number",""
"        Estimate","188,958"
"    Percent Distribution",""
"        Estimate","188,958"
"    Median income (dollars)",""
"        Estimate","86,173"
"Stanislaus County, California",""
