"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","551,734"
"    Median income (dollars)",""
"        Estimate","73,775"
"Alpine County, California",""
"    Total",""
"        Estimate","377"
"    Median income (dollars)",""
"        Estimate","61,343"
"Amador County, California",""
"    Total",""
"        Estimate","13,939"
"    Median income (dollars)",""
"        Estimate","52,964"
"Butte County, California",""
"    Total",""
"        Estimate","85,215"
"    Median income (dollars)",""
"        Estimate","43,165"
"Calaveras County, California",""
"    Total",""
"        Estimate","18,608"
"    Median income (dollars)",""
"        Estimate","54,936"
"Colusa County, California",""
"    Total",""
"        Estimate","6,912"
"    Median income (dollars)",""
"        Estimate","50,503"
"Contra Costa County, California",""
"    Total",""
"        Estimate","380,183"
"    Median income (dollars)",""
"        Estimate","79,799"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,527"
"    Median income (dollars)",""
"        Estimate","39,302"
"El Dorado County, California",""
"    Total",""
"        Estimate","67,220"
"    Median income (dollars)",""
"        Estimate","68,507"
"Fresno County, California",""
"    Total",""
"        Estimate","292,550"
"    Median income (dollars)",""
"        Estimate","45,201"
"Glenn County, California",""
"    Total",""
"        Estimate","9,561"
"    Median income (dollars)",""
"        Estimate","40,106"
"Humboldt County, California",""
"    Total",""
"        Estimate","53,130"
"    Median income (dollars)",""
"        Estimate","42,153"
"Imperial County, California",""
"    Total",""
"        Estimate","46,952"
"    Median income (dollars)",""
"        Estimate","41,772"
"Inyo County, California",""
"    Total",""
"        Estimate","7,891"
"    Median income (dollars)",""
"        Estimate","45,625"
"Kern County, California",""
"    Total",""
"        Estimate","257,737"
"    Median income (dollars)",""
"        Estimate","48,574"
"Kings County, California",""
"    Total",""
"        Estimate","41,108"
"    Median income (dollars)",""
"        Estimate","47,341"
"Lake County, California",""
"    Total",""
"        Estimate","26,771"
"    Median income (dollars)",""
"        Estimate","35,997"
"Lassen County, California",""
"    Total",""
"        Estimate","9,821"
"    Median income (dollars)",""
"        Estimate","53,351"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,242,391"
"    Median income (dollars)",""
"        Estimate","55,870"
"Madera County, California",""
"    Total",""
"        Estimate","42,723"
"    Median income (dollars)",""
"        Estimate","45,490"
"Marin County, California",""
"    Total",""
"        Estimate","103,034"
"    Median income (dollars)",""
"        Estimate","91,529"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,289"
"    Median income (dollars)",""
"        Estimate","50,560"
"Mendocino County, California",""
"    Total",""
"        Estimate","33,693"
"    Median income (dollars)",""
"        Estimate","43,290"
"Merced County, California",""
"    Total",""
"        Estimate","76,516"
"    Median income (dollars)",""
"        Estimate","43,066"
"Modoc County, California",""
"    Total",""
"        Estimate","3,893"
"    Median income (dollars)",""
"        Estimate","38,560"
"Mono County, California",""
"    Total",""
"        Estimate","5,160"
"    Median income (dollars)",""
"        Estimate","61,814"
"Monterey County, California",""
"    Total",""
"        Estimate","125,115"
"    Median income (dollars)",""
"        Estimate","58,582"
"Napa County, California",""
"    Total",""
"        Estimate","49,631"
"    Median income (dollars)",""
"        Estimate","70,925"
"Nevada County, California",""
"    Total",""
"        Estimate","40,838"
"    Median income (dollars)",""
"        Estimate","56,949"
"Orange County, California",""
"    Total",""
"        Estimate","1,002,285"
"    Median income (dollars)",""
"        Estimate","75,998"
"Placer County, California",""
"    Total",""
"        Estimate","134,111"
"    Median income (dollars)",""
"        Estimate","73,747"
"Plumas County, California",""
"    Total",""
"        Estimate","8,529"
"    Median income (dollars)",""
"        Estimate","48,032"
"Riverside County, California",""
"    Total",""
"        Estimate","690,388"
"    Median income (dollars)",""
"        Estimate","56,592"
"Sacramento County, California",""
"    Total",""
"        Estimate","519,460"
"    Median income (dollars)",""
"        Estimate","55,615"
"San Benito County, California",""
"    Total",""
"        Estimate","17,121"
"    Median income (dollars)",""
"        Estimate","67,874"
"San Bernardino County, California",""
"    Total",""
"        Estimate","607,604"
"    Median income (dollars)",""
"        Estimate","54,100"
"San Diego County, California",""
"    Total",""
"        Estimate","1,083,811"
"    Median income (dollars)",""
"        Estimate","63,996"
"San Francisco County, California",""
"    Total",""
"        Estimate","348,832"
"    Median income (dollars)",""
"        Estimate","78,378"
"San Joaquin County, California",""
"    Total",""
"        Estimate","217,343"
"    Median income (dollars)",""
"        Estimate","53,253"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","102,350"
"    Median income (dollars)",""
"        Estimate","59,454"
"San Mateo County, California",""
"    Total",""
"        Estimate","258,683"
"    Median income (dollars)",""
"        Estimate","91,421"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","142,028"
"    Median income (dollars)",""
"        Estimate","63,409"
"Santa Clara County, California",""
"    Total",""
"        Estimate","614,714"
"    Median income (dollars)",""
"        Estimate","93,854"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","94,219"
